customer_id,trans_date,tran_amount,response,Month,Year
CS2781,2011-06-02,51,0,6,2011
CS5260,2014-09-25,89,1,9,2014
CS5155,2011-12-25,100,0,12,2011
CS1582,2014-05-24,46,1,5,2014
CS4757,2011-08-19,81,0,8,2011
CS6039,2013-10-05,104,0,10,2013
CS1580,2012-11-18,87,1,11,2012
CS3815,2011-07-05,54,0,7,2011
CS6063,2013-04-13,104,0,4,2013
CS2226,2014-10-29,104,0,10,2014
CS5367,2015-01-08,77,1,1,2015
CS4581,2013-06-04,95,0,6,2013
CS5004,2014-12-21,59,0,12,2014
CS2164,2013-08-06,35,0,8,2013
CS4590,2014-05-31,79,0,5,2014
CS4600,2011-10-03,50,0,10,2011
CS2122,2012-02-20,90,0,2,2012
CS3060,2012-08-24,59,0,8,2012
CS2217,2013-04-19,85,0,4,2013
CS4288,2014-04-21,68,0,4,2014
CS1568,2013-05-10,104,0,5,2013
CS3442,2014-09-16,39,0,9,2014
CS4883,2013-12-24,39,0,12,2013
CS4911,2012-02-17,75,0,2,2012
CS1533,2012-07-25,86,0,7,2012
CS3103,2014-05-07,59,0,5,2014
CS2185,2012-01-29,46,0,1,2012
CS4094,2013-07-24,100,0,7,2013
CS4354,2012-12-29,62,1,12,2012
CS1939,2012-07-25,46,0,7,2012
CS5516,2012-12-04,75,0,12,2012
CS5664,2013-11-02,95,0,11,2013
CS5068,2014-11-07,41,0,11,2014
CS4376,2014-10-13,49,0,10,2014
CS5825,2011-10-22,61,0,10,2011
CS1871,2012-01-16,64,0,1,2012
CS5046,2015-02-06,86,1,2,2015
CS1259,2013-06-30,64,1,6,2013
CS5664,2011-09-11,58,0,9,2011
CS2986,2011-07-20,67,0,7,2011
CS5510,2013-09-02,99,0,9,2013
CS2845,2013-01-10,73,0,1,2013
CS4077,2012-07-22,90,0,7,2012
CS3466,2013-11-04,71,0,11,2013
CS1508,2013-10-25,101,0,10,2013
CS2469,2014-07-19,93,0,7,2014
CS2767,2015-01-03,105,0,1,2015
CS5790,2012-03-17,58,0,3,2012
CS1710,2013-06-10,100,0,6,2013
CS2554,2011-10-05,100,0,10,2011
CS5283,2015-02-05,63,0,2,2015
CS4050,2014-08-30,63,0,8,2014
CS5975,2012-09-08,77,0,9,2012
CS4227,2012-10-16,74,0,10,2012
CS5983,2011-05-20,47,0,5,2011
CS2490,2013-12-04,70,0,12,2013
CS1696,2012-12-25,51,1,12,2012
CS3209,2014-02-25,82,0,2,2014
CS2942,2013-01-08,62,0,1,2013
CS4981,2011-10-16,93,0,10,2011
CS1397,2014-03-26,77,0,3,2014
CS1903,2013-04-15,92,0,4,2013
CS3754,2013-11-30,77,0,11,2013
CS4763,2011-12-12,78,0,12,2011
CS4413,2015-01-17,38,0,1,2015
CS2333,2011-08-13,99,0,8,2011
CS2798,2012-05-30,100,0,5,2012
CS5033,2011-12-13,96,0,12,2011
CS1420,2014-09-09,99,1,9,2014
CS5132,2011-09-14,74,0,9,2011
CS3058,2012-09-03,74,0,9,2012
CS3692,2013-09-22,42,0,9,2013
CS2463,2012-09-29,55,0,9,2012
CS5209,2011-11-11,35,0,11,2011
CS4581,2013-11-16,53,0,11,2013
CS3424,2013-12-02,85,0,12,2013
CS3207,2013-06-27,86,1,6,2013
CS5763,2013-01-23,56,0,1,2013
CS5772,2012-01-18,97,0,1,2012
CS3673,2013-04-29,85,0,4,2013
CS2887,2012-03-02,100,0,3,2012
CS1596,2011-08-28,66,0,8,2011
CS4299,2012-06-17,37,0,6,2012
CS1492,2014-02-06,82,0,2,2014
CS2313,2014-04-10,40,0,4,2014
CS5385,2014-04-25,83,0,4,2014
CS3441,2013-11-03,43,0,11,2013
CS4701,2014-07-26,53,0,7,2014
CS1746,2013-06-21,103,1,6,2013
CS3276,2013-07-27,65,0,7,2013
CS2555,2012-05-20,50,0,5,2012
CS2569,2014-04-29,37,0,4,2014
CS3426,2014-05-01,67,0,5,2014
CS3052,2013-11-17,67,1,11,2013
CS1993,2013-08-08,68,0,8,2013
CS4908,2014-09-27,78,0,9,2014
CS3021,2014-02-10,43,0,2,2014
CS4424,2013-05-16,82,0,5,2013
CS4841,2013-05-23,74,0,5,2013
CS3486,2012-11-19,75,0,11,2012
CS2218,2011-10-11,78,0,10,2011
CS4779,2012-04-29,53,1,4,2012
CS4226,2013-04-19,100,0,4,2013
CS1653,2011-08-30,53,1,8,2011
CS2533,2012-03-30,99,0,3,2012
CS2905,2012-07-29,47,0,7,2012
CS5169,2013-01-25,64,0,1,2013
CS5142,2012-11-25,64,0,11,2012
CS4390,2014-07-02,43,0,7,2014
CS5668,2014-02-27,91,0,2,2014
CS2896,2013-01-14,71,0,1,2013
CS5156,2013-10-02,58,0,10,2013
CS4200,2012-08-12,67,0,8,2012
CS4391,2014-09-07,67,1,9,2014
CS5408,2013-07-22,78,0,7,2013
CS6019,2013-10-25,84,1,10,2013
CS3981,2012-07-25,40,0,7,2012
CS5925,2013-06-20,66,0,6,2013
CS3964,2013-11-14,105,0,11,2013
CS4688,2013-05-20,101,0,5,2013
CS1343,2012-06-02,57,0,6,2012
CS6024,2012-10-14,45,0,10,2012
CS2816,2011-12-18,84,0,12,2011
CS2434,2012-05-20,41,1,5,2012
CS6018,2012-05-18,96,0,5,2012
CS2072,2012-07-07,63,0,7,2012
CS2897,2013-12-03,83,0,12,2013
CS1680,2013-10-14,81,0,10,2013
CS1638,2013-08-05,84,0,8,2013
CS1165,2012-04-12,101,0,4,2012
CS4593,2012-01-04,84,0,1,2012
CS3414,2011-11-13,46,0,11,2011
CS2252,2013-02-28,58,0,2,2013
CS3598,2013-07-30,54,0,7,2013
CS3642,2014-05-19,62,1,5,2014
CS5948,2014-07-10,71,0,7,2014
CS5582,2014-05-23,96,0,5,2014
CS6107,2011-07-23,70,0,7,2011
CS5201,2011-07-02,79,0,7,2011
CS1639,2013-05-05,51,0,5,2013
CS5884,2012-11-20,52,0,11,2012
CS3515,2014-07-07,81,0,7,2014
CS2332,2013-08-29,66,0,8,2013
CS5628,2014-12-16,94,0,12,2014
CS4830,2012-04-13,78,0,4,2012
CS1673,2012-01-04,92,0,1,2012
CS4993,2011-06-01,86,0,6,2011
CS2603,2013-07-01,58,1,7,2013
CS1800,2013-11-20,72,0,11,2013
CS3911,2012-06-09,83,0,6,2012
CS5465,2011-12-05,77,0,12,2011
CS2373,2012-03-29,105,0,3,2012
CS1241,2013-03-06,104,0,3,2013
CS4244,2013-02-15,48,0,2,2013
CS5233,2013-06-05,73,0,6,2013
CS5405,2013-12-04,87,0,12,2013
CS4115,2011-11-30,73,1,11,2011
CS4283,2011-12-23,76,0,12,2011
CS4420,2014-05-28,93,0,5,2014
CS4779,2013-05-08,41,1,5,2013
CS2567,2011-07-15,93,0,7,2011
CS3629,2014-09-30,68,0,9,2014
CS2026,2013-08-25,66,1,8,2013
CS4338,2013-07-05,58,0,7,2013
CS4142,2012-05-20,100,0,5,2012
CS2837,2012-11-10,88,0,11,2012
CS1625,2013-11-05,104,0,11,2013
CS4873,2012-11-20,83,0,11,2012
CS3376,2012-08-28,39,0,8,2012
CS4311,2012-02-27,35,1,2,2012
CS1396,2012-09-25,86,0,9,2012
CS3779,2014-01-29,92,0,1,2014
CS1997,2012-10-09,87,0,10,2012
CS4540,2012-05-17,72,1,5,2012
CS5299,2012-12-22,90,0,12,2012
CS2253,2012-11-21,99,0,11,2012
CS6066,2014-03-17,102,0,3,2014
CS6077,2012-11-22,44,0,11,2012
CS3300,2014-12-28,86,0,12,2014
CS5922,2012-03-31,95,1,3,2012
CS6009,2014-03-13,39,1,3,2014
CS5064,2013-02-19,97,0,2,2013
CS2399,2014-04-21,77,0,4,2014
CS5547,2012-09-27,73,1,9,2012
CS5114,2012-09-23,96,0,9,2012
CS3908,2011-11-10,83,1,11,2011
CS4194,2013-04-24,92,0,4,2013
CS5342,2012-10-15,82,0,10,2012
CS5425,2012-08-04,90,0,8,2012
CS1991,2014-09-29,94,0,9,2014
CS2693,2013-08-27,61,0,8,2013
CS5076,2015-01-31,63,1,1,2015
CS3177,2011-06-08,87,0,6,2011
CS2809,2012-06-02,60,1,6,2012
CS3864,2013-12-06,56,0,12,2013
CS2515,2011-12-11,51,1,12,2011
CS4487,2011-08-25,100,0,8,2011
CS3108,2011-08-20,87,0,8,2011
CS1133,2014-07-28,91,0,7,2014
CS5919,2012-03-04,97,0,3,2012
CS6067,2012-09-04,44,0,9,2012
CS4893,2013-10-24,66,0,10,2013
CS5750,2014-03-25,48,0,3,2014
CS1445,2011-11-13,88,0,11,2011
CS1710,2011-10-26,52,0,10,2011
CS1927,2013-12-23,97,0,12,2013
CS5719,2011-07-10,40,1,7,2011
CS2591,2014-01-29,69,0,1,2014
CS2416,2013-02-13,59,0,2,2013
CS1347,2013-02-10,74,0,2,2013
CS3073,2015-02-13,95,0,2,2015
CS3590,2013-10-23,104,0,10,2013
CS4099,2014-05-29,67,0,5,2014
CS4109,2012-08-21,40,0,8,2012
CS6072,2011-12-20,82,0,12,2011
CS3266,2012-11-17,51,0,11,2012
CS1433,2014-12-22,72,0,12,2014
CS5499,2011-06-23,59,0,6,2011
CS1533,2012-07-20,85,0,7,2012
CS5405,2012-04-21,91,0,4,2012
CS4971,2013-05-28,83,0,5,2013
CS5461,2012-02-06,47,1,2,2012
CS6088,2013-01-27,82,0,1,2013
CS1984,2012-09-04,53,0,9,2012
CS1184,2013-01-05,102,0,1,2013
CS4346,2012-12-09,65,0,12,2012
CS5245,2014-10-29,104,0,10,2014
CS5402,2011-11-03,84,0,11,2011
CS2765,2011-08-29,61,0,8,2011
CS5785,2013-06-20,63,0,6,2013
CS5767,2013-05-29,82,0,5,2013
CS2753,2012-06-17,63,0,6,2012
CS2252,2012-09-04,68,0,9,2012
CS5488,2012-06-28,53,0,6,2012
CS5354,2014-09-23,83,0,9,2014
CS1470,2012-02-11,95,0,2,2012
CS1155,2011-10-16,75,0,10,2011
CS5565,2014-06-04,36,0,6,2014
CS6073,2015-02-07,104,0,2,2015
CS2817,2014-06-11,43,0,6,2014
CS3210,2011-10-29,57,0,10,2011
CS4688,2012-10-16,59,0,10,2012
CS4663,2013-02-24,95,0,2,2013
CS4539,2012-07-28,35,1,7,2012
CS2580,2012-07-09,42,0,7,2012
CS3983,2012-10-15,103,0,10,2012
CS2771,2012-07-02,67,0,7,2012
CS3635,2015-02-03,38,0,2,2015
CS1415,2012-01-21,73,0,1,2012
CS2294,2015-03-04,94,0,3,2015
CS1405,2013-09-18,43,0,9,2013
CS1582,2014-01-16,85,1,1,2014
CS2886,2013-11-09,38,0,11,2013
CS2770,2014-11-07,80,0,11,2014
CS1140,2014-12-28,61,0,12,2014
CS2333,2014-01-25,93,0,1,2014
CS4752,2013-04-20,95,0,4,2013
CS5687,2011-07-26,89,0,7,2011
CS4895,2014-01-11,80,0,1,2014
CS2786,2011-11-28,66,0,11,2011
CS1927,2012-05-24,63,0,5,2012
CS4327,2014-09-26,36,0,9,2014
CS1624,2013-03-30,68,0,3,2013
CS5490,2014-08-19,36,0,8,2014
CS4395,2012-02-26,66,0,2,2012
CS3174,2013-01-25,61,0,1,2013
CS2011,2013-06-06,85,0,6,2013
CS5553,2015-01-07,98,0,1,2015
CS3775,2012-02-23,92,0,2,2012
CS2885,2012-11-08,55,0,11,2012
CS1206,2014-08-11,90,0,8,2014
CS4480,2012-05-23,60,0,5,2012
CS1488,2015-02-12,65,0,2,2015
CS1456,2013-02-08,95,0,2,2013
CS4681,2014-02-03,96,0,2,2014
CS3170,2012-10-16,85,0,10,2012
CS1906,2014-05-18,60,0,5,2014
CS5774,2015-02-28,78,0,2,2015
CS6063,2011-09-29,77,0,9,2011
CS2223,2014-01-17,41,0,1,2014
CS1848,2011-09-27,48,0,9,2011
CS2366,2014-04-08,39,0,4,2014
CS5335,2014-01-13,45,0,1,2014
CS2899,2012-10-12,55,1,10,2012
CS4219,2013-12-06,59,0,12,2013
CS5690,2015-01-19,82,0,1,2015
CS3410,2014-09-06,97,0,9,2014
CS1337,2014-07-24,103,0,7,2014
CS4954,2012-11-02,82,0,11,2012
CS4400,2011-08-23,67,0,8,2011
CS3652,2015-02-07,64,0,2,2015
CS5677,2013-02-28,93,0,2,2013
CS4992,2012-10-21,83,0,10,2012
CS3569,2014-08-17,61,0,8,2014
CS2442,2014-04-30,59,0,4,2014
CS4160,2012-05-15,66,0,5,2012
CS5996,2011-11-18,69,0,11,2011
CS2345,2011-06-14,60,0,6,2011
CS2246,2011-08-10,44,0,8,2011
CS2928,2013-07-16,67,0,7,2013
CS1740,2014-09-28,102,1,9,2014
CS2298,2011-09-12,105,1,9,2011
CS5283,2012-12-01,63,0,12,2012
CS6084,2013-08-15,64,0,8,2013
CS3237,2013-01-22,40,0,1,2013
CS4913,2014-07-22,53,0,7,2014
CS2104,2014-10-25,81,0,10,2014
CS4645,2013-12-02,104,0,12,2013
CS1128,2014-04-23,105,0,4,2014
CS4639,2012-07-27,39,0,7,2012
CS4310,2011-09-13,83,0,9,2011
CS3182,2013-01-18,48,0,1,2013
CS3347,2012-07-23,38,1,7,2012
CS4231,2015-02-23,89,0,2,2015
CS4171,2014-10-31,53,0,10,2014
CS3137,2013-08-03,92,0,8,2013
CS1249,2012-05-23,55,0,5,2012
CS3455,2011-10-03,98,0,10,2011
CS1235,2012-05-30,56,1,5,2012
CS4454,2013-08-27,57,0,8,2013
CS3180,2014-03-09,65,1,3,2014
CS2930,2014-01-16,94,0,1,2014
CS3838,2012-03-23,82,0,3,2012
CS1883,2014-10-12,57,0,10,2014
CS5148,2012-11-19,72,0,11,2012
CS4952,2011-11-21,54,1,11,2011
CS5724,2011-11-04,85,0,11,2011
CS1447,2012-03-19,104,0,3,2012
CS1693,2012-01-28,59,0,1,2012
CS4341,2014-03-17,87,0,3,2014
CS3598,2012-08-08,72,0,8,2012
CS5659,2012-08-02,100,0,8,2012
CS5367,2014-12-01,41,1,12,2014
CS1501,2013-02-27,65,0,2,2013
CS2134,2014-07-15,77,0,7,2014
CS3407,2014-09-17,62,0,9,2014
CS3343,2014-04-03,56,0,4,2014
CS3506,2013-03-12,103,0,3,2013
CS2244,2013-05-05,86,1,5,2013
CS1243,2012-12-04,70,0,12,2012
CS3061,2013-12-02,89,0,12,2013
CS4884,2015-02-10,78,0,2,2015
CS1590,2014-04-09,39,0,4,2014
CS3176,2014-07-28,50,0,7,2014
CS5638,2014-11-12,68,0,11,2014
CS2122,2012-10-21,83,0,10,2012
CS2177,2015-01-30,93,1,1,2015
CS3074,2011-05-27,61,0,5,2011
CS3433,2012-12-20,99,0,12,2012
CS3418,2013-03-02,87,0,3,2013
